                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.3164,                 1.3005,                 1.3738,                0.16579,                0.25449,                0.09982,                0.03246,                 2.7849,                  3.003,                 2.9051,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.286,                 1.2521,                 1.3118,                0.16691,                 0.2439,                0.11732,                0.04007,                 2.7078,                 2.8419,                 2.8756,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1095,                 1.1201,                  1.256,                0.17977,                0.29268,                0.12777,                0.04354,                 2.6535,                 2.6916,                 2.8619,               0.001109,               0.001109,               0.001109
                     47,                 1.3383,                 1.2897,                 1.2817,                0.25137,                0.20732,                0.15905,                0.06303,                 2.5403,                 2.4918,                 2.7238,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2641,                  1.156,                 1.2864,                0.46039,                0.18293,                 0.1932,                 0.0829,                 2.5007,                 2.3954,                  2.567,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3402,                 1.2129,                 1.2406,                0.37381,                 0.2561,                0.22063,                0.09025,                 2.4721,                 2.3888,                  2.661,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3067,                 1.2275,                 1.3056,                0.37399,                0.35366,                0.22568,                0.08072,                 2.5241,                 2.4564,                 2.6778,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3808,                 1.2508,                 1.2609,                0.38039,                0.30488,                0.19308,                0.07074,                 2.5192,                 2.4726,                 2.5807,                0.00101,                0.00101,                0.00101
                     52,                 1.3293,                 1.1868,                 1.2755,                0.37909,                0.26829,                0.19406,                0.07378,                 2.5519,                 2.5299,                 2.5492,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1626,                  1.127,                 1.2746,                0.35299,                 0.2439,                0.17044,                0.05992,                 2.5984,                 2.5412,                 2.7173,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0932,                 1.0236,                 1.1805,                0.31416,                0.26829,                0.17285,                0.06425,                  2.613,                 2.3991,                 2.8653,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2406,                  1.065,                 1.2608,                0.35174,                0.31707,                0.22422,                0.07377,                 2.5298,                 2.3928,                 2.8737,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1788,                 1.0811,                 1.2223,                0.54957,                0.26829,                 0.2651,                 0.1004,                 2.3932,                 2.3298,                 2.6753,               0.000911,               0.000911,               0.000911
                     57,                 1.3191,                 1.1405,                 1.2651,                0.42073,                0.27464,                0.24158,                0.10215,                  2.275,                 2.3605,                 2.6072,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.183,                 1.0466,                 1.2244,                0.47002,                0.26829,                0.23612,                 0.1068,                 2.2487,                 2.3708,                 2.5044,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1825,                 1.0805,                  1.348,                0.48655,                0.26583,                0.25427,                 0.1081,                 2.2612,                 2.3135,                 2.5342,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2181,                  1.025,                 1.2637,                0.47053,                0.32927,                0.25709,                0.08276,                 2.5633,                 2.2656,                 2.7276,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3212,                 1.0866,                 1.2101,                0.43881,                0.33379,                0.28643,                0.09141,                 2.4911,                 2.2673,                 2.6005,               0.000812,               0.000812,               0.000812
                     62,                 1.1636,                 1.0104,                 1.1823,                0.56075,                0.26829,                0.26563,                0.09047,                 2.4686,                 2.3205,                 2.5607,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1693,                  1.057,                 1.2348,                0.57692,                0.24953,                0.26976,                0.09261,                 2.4745,                 2.3135,                 2.5609,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1708,                 1.0218,                 1.2166,                0.33072,                 0.2439,                0.22179,                0.09037,                 2.4904,                 2.2303,                 2.6013,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1507,                 1.0125,                 1.2001,                0.41476,                 0.2561,                0.22291,                0.09061,                 2.4819,                   2.23,                 2.5767,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1769,                 1.0151,                 1.2071,                 0.4089,                 0.2561,                0.22438,                0.08341,                 2.4126,                 2.2563,                 2.4943,               0.000713,               0.000713,               0.000713
                     67,                 1.2321,                0.99777,                 1.2022,                0.47847,                 0.2439,                0.25799,                 0.0923,                 2.2454,                 2.2031,                 2.3778,              0.0006932,              0.0006932,              0.0006932
                     68,                  1.182,                0.95877,                  1.172,                0.44569,                0.40244,                0.31534,                0.11301,                 2.1749,                 2.0705,                 2.3079,              0.0006734,              0.0006734,              0.0006734
                     69,                0.93752,                0.91737,                 1.1801,                0.48325,                0.40244,                0.30848,                0.11398,                 2.1806,                 2.0501,                  2.305,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0643,                0.89421,                 1.1206,                 0.4674,                0.39024,                0.31074,                0.11466,                 2.2016,                 2.0939,                 2.3445,              0.0006338,              0.0006338,              0.0006338
                     71,                0.97325,                0.83102,                 1.1395,                0.50672,                0.35366,                0.30537,                0.10677,                 2.2448,                 2.1055,                 2.4159,               0.000614,               0.000614,               0.000614
                     72,                 1.0801,                 1.0039,                 1.1887,                0.59922,                0.30488,                0.31566,                 0.1142,                 2.2697,                 2.0496,                 2.4162,              0.0005942,              0.0005942,              0.0005942
